name,hash
NYCW_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,b709ca9b49fe090ab0e9655547db2adfc03469bfdd57c4c7af765a752c735f45
NYCW_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,9ee0d5b2921d1c3853708a366beda73bbc6d6cc932007b7b2241ab64107b4556
NYCW_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,375cf25fa9ff1ce502d93d5e9c5477d2044a3af06b7707ea2f37f70b818a6735
NYUP_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_min_capacity_40000_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,e43e733abf48795f3155b2b474d91e3dcfc964d72b62ee214b9aedab895e0913
NYUP_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_100000_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,d5e1c6c0ce7cb838fdad3c99f69c8bc8331b314386b4d52a9e866ac895b102b9
NYUP_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,33471d86045a83a03c30189703a15ec9346b5a3cd8b18856ade791015fcce274
NYUP_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,3b952d717b274f36c414f3bf7d86709f684833a42bfb48538ea530f5ae357a44
NYUP_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,155f8512ce4dd5f5a523c49f047c547b30cac5a90b26e7fb67f85f810581eb4e
NYUP_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,86cbac23745feb6547cce1ec5f52952b08799c3a0b3275eb3f905fadf7d0831b
PJMC_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_50000_filter_feature_lcoe_max_35_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,cb1474a973e409518bcaefbbeac437c0e37484c9dd4f79b5846485214fa08daa
PJMC_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_filter_feature_lcoe_max_80_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,5c45d5d82f20ace1ef84424d7439655da835d6d66527a820c0f695723964a373
PJMC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,8c84cebafe456b22fec3aed761756c1d9ab81f7765b79cbfaaf5d5efc7e9b235
PJMC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_1_filter_feature_lcoe_max_150_weights_mw_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,24493320a1865203cae7ae154d51bd99a10b53a3d5e626a97755ebd51b7ef249
PJMC_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,80ecd2ecc06fd91d5a13a0f48c462ac3dc1f737733d75a84403b6e9768aad86d
PJMC_OffShoreWind_Class12_Moderate__technology_offshorewind_turbine_type_floating_pref_site_0_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,72d175506d6a198295468e5c1174416517fb1fdb9c9b1d34b18ca8bb6b01626c
PJMD_LandbasedWind_Class3_Moderate__technology_landbasedwind_group_anyQual_min_capacity_20000_bin_feature_lcoe_q_6_weights_mw_cluster_feature_cf_mw_per_cluster_5000_method_agg_,85bf5603975d07f6efdd0126ccd8003980660df4292b726120615fe2d774aa2e
PJMD_UtilityPV_Class1_Moderate__technology_utilitypv_group_anyQual_min_capacity_200000_bin_feature_lcoe_weights_mw_q_5_cluster_feature_cf_mw_per_cluster_10000_method_agg_,a14b5ec73ae9d1f336cb2970f84904c247f3f63606c3b53c8a8468ab0c054e44
PJMD_OffShoreWind_Class3_Moderate__technology_offshorewind_turbine_type_fixed_pref_site_1_filter_feature_lcoe_max_150_feature_d_shore_m_min_15_bin_feature_interconnect_capex_mw_q_3_weights_mw_,6df65c60376f61de8ed67b10ec3ee66591fe09094c1e5fc4b3122a1e7a91865a
